u,i,ts,label,idx
67,1016,887249482.0,1,76
48,1017,882823954.0,1,77
68,1018,886475558.0,1,78
69,1019,888906576.0,1,79
70,1020,884364867.0,1,80
32,1021,879539643.0,1,81
23,1020,878192429.0,1,82
32,1022,879540748.0,1,83
38,1023,874791025.0,1,84
19,966,874835091.0,1,85
71,1024,878183381.0,1,86
72,1025,878971773.0,1,87
56,1026,881108684.0,1,88
73,1027,891903862.0,1,89
25,1028,888954412.0,1,90
74,1029,879361873.0,1,91
75,1030,877635573.0,1,92
55,1031,879876194.0,1,93
76,1032,875296291.0,1,94
77,1033,885557505.0,1,95
21,1034,874781198.0,1,96
11,1035,879373848.0,1,97
11,1036,879375537.0,1,98
78,1037,881961214.0,1,99
79,1038,879857765.0,1,100
80,1039,883709863.0,1,101
81,1036,891383835.0,1,102
12,1040,877531942.0,1,103
69,1041,888905170.0,1,104
82,966,880234639.0,1,105
5,1042,886397722.0,1,106
83,1043,878090499.0,1,107
84,1044,885848672.0,1,108
29,1045,876860807.0,1,109
85,967,875320714.0,1,110
86,1035,884207492.0,1,111
56,1046,881107178.0,1,112
87,1047,884288058.0,1,113
88,1048,886987260.0,1,114
89,966,884304936.0,1,115
81,1049,891384754.0,1,116
84,948,885844430.0,1,117
11,1050,879373460.0,1,118
76,1051,881375854.0,1,119
90,1052,879376641.0,1,120
91,1053,891720887.0,1,121
92,1054,879966895.0,1,122
6,1055,884182806.0,1,123
93,1056,878347874.0,1,124
94,1057,886122352.0,1,125
18,1058,879524643.0,1,126
54,1056,880037702.0,1,127
71,1059,883815120.0,1,128
83,1060,878089182.0,1,129
95,950,890687042.0,1,130
15,1061,888082216.0,1,131
96,1062,878769629.0,1,132
97,1063,879791710.0,1,133
69,1064,888904884.0,1,134
82,1065,880245029.0,1,135
83,1066,878092059.0,1,136
53,1038,888205300.0,1,137
12,1067,877533771.0,1,138
4,1068,880605185.0,1,139
39,1069,891352010.0,1,140
98,1070,886434402.0,1,141
55,961,879876734.0,1,142
18,1071,879551380.0,1,143
96,1072,884714402.0,1,144
59,1073,882139746.0,1,145
59,1074,884538403.0,1,146
4,1075,880605157.0,1,147
9,1010,886323090.0,1,148
25,1076,888954930.0,1,149
99,1077,883955745.0,1,150
23,1078,889502823.0,1,151
62,1079,883698454.0,1,152
100,1080,883452363.0,1,153
101,1081,891449922.0,1,154
23,1027,877878184.0,1,155
18,1082,879525876.0,1,156
29,1062,876860807.0,1,157
47,1083,885678247.0,1,158
40,965,877886846.0,1,159
102,1084,874724988.0,1,160
103,1010,879456350.0,1,161
16,1007,879467295.0,1,162
104,1085,878870987.0,1,163
105,1052,891387947.0,1,164
81,975,891383204.0,1,165
106,1086,888067405.0,1,166
56,1087,881108425.0,1,167
107,1088,879371261.0,1,168
108,1084,876973939.0,1,169
109,1089,875537965.0,1,170
110,991,885412840.0,1,171
111,1090,875744136.0,1,172
112,1091,875636053.0,1,173
9,1084,886324028.0,1,174
93,1039,883612356.0,1,175
99,1092,875975656.0,1,176
76,1093,875298353.0,1,177
113,1082,887401701.0,1,178
68,1094,886472768.0,1,179
6,1095,884183336.0,1,180
76,1096,892174404.0,1,181
114,1097,883601324.0,1,182
115,1098,880130193.0,1,183
111,1099,875542174.0,1,184
47,1100,885680138.0,1,185
59,975,881515011.0,1,186
116,1101,891347949.0,1,187
39,1102,891353086.0,1,188
71,1103,878183481.0,1,189
13,1104,884128554.0,1,190
21,1042,876923913.0,1,191
104,1105,878955442.0,1,192
38,995,874786392.0,1,193
91,1106,891723086.0,1,194
117,1067,875801662.0,1,195
26,1042,892428688.0,1,196
29,1107,876857977.0,1,197
69,1108,888906966.0,1,198
116,1109,891385985.0,1,199
117,1110,875216545.0,1,200
66,1111,886443455.0,1,201
118,1112,882164999.0,1,202
119,1113,878542420.0,1,203
54,1114,880036718.0,1,204
120,1103,892910207.0,1,205
59,1115,882140926.0,1,206
121,1080,879455957.0,1,207
66,1116,875654637.0,1,208
122,1117,884386343.0,1,209
57,1045,881105481.0,1,210
123,1118,888549622.0,1,211
49,1119,886272175.0,1,212
15,1008,888104153.0,1,213
36,1120,878962392.0,1,214
102,1121,874724710.0,1,215
9,1064,886323648.0,1,216
124,1122,882922806.0,1,217
125,1123,891170769.0,1,218
126,1124,877399018.0,1,219
127,1125,892838559.0,1,220
34,1126,884238860.0,1,221
89,1127,884304936.0,1,222
128,973,887665548.0,1,223
81,1128,891383319.0,1,224
129,1129,879455113.0,1,225
18,996,879521396.0,1,226
127,1130,879454628.0,1,227
88,1131,886987605.0,1,228
23,1077,877877775.0,1,229
130,1132,879524921.0,1,230
101,1133,891446165.0,1,231
10,1077,883599249.0,1,232
131,1134,880937882.0,1,233
16,1135,879467542.0,1,234
132,1136,877727122.0,1,235
31,1137,882078621.0,1,236
38,1138,874793035.0,1,237
9,1139,886323068.0,1,238
18,1140,879541148.0,1,239
133,1088,891438397.0,1,240
55,1141,879875940.0,1,241
134,1142,877819599.0,1,242
12,1143,877531791.0,1,243
13,1144,884128458.0,1,244
135,1042,891632142.0,1,245
48,1145,882826555.0,1,246
16,1146,879484804.0,1,247
11,1147,879374686.0,1,248
122,1148,876018608.0,1,249
66,1105,875653271.0,1,250
31,1149,882078040.0,1,251
136,1150,882157581.0,1,252
137,1151,884150257.0,1,253
28,944,875747190.0,1,254
78,988,881961671.0,1,255
76,1152,875307407.0,1,256
83,1153,878089716.0,1,257
138,975,890881335.0,1,258
23,1154,889502324.0,1,259
18,1023,879525876.0,1,260
16,1068,879485532.0,1,261
21,1021,874775038.0,1,262
139,1155,879966498.0,1,263
111,1109,875742942.0,1,264
111,1091,875744173.0,1,265
114,1101,883601089.0,1,266
140,1123,879394264.0,1,267
128,1156,880308578.0,1,268
141,1157,891542540.0,1,269
142,1117,881368243.0,1,270
143,1158,891374868.0,1,271
111,1159,875744501.0,1,272
31,1160,882076587.0,1,273
144,1161,879283786.0,1,274
20,1162,892334609.0,1,275
128,1163,880308755.0,1,276
36,1060,878961624.0,1,277
145,1164,875240090.0,1,278
26,1165,892430369.0,1,279
39,1036,891352093.0,1,280
94,1166,886122952.0,1,281
36,1167,878961814.0,1,282
42,1168,884140579.0,1,283
103,1169,879456199.0,1,284
101,1170,891450023.0,1,285
53,1171,888205855.0,1,286
12,1000,889651549.0,1,287
146,1046,889124507.0,1,288
147,1172,875936424.0,1,289
57,1173,881104093.0,1,290
117,955,876250718.0,1,291
148,975,875155140.0,1,292
64,1174,893265380.0,1,293
149,1175,889452455.0,1,294
150,1037,877488546.0,1,295
151,1010,879873020.0,1,296
21,956,874775311.0,1,297
152,1089,880134407.0,1,298
71,967,877563802.0,1,299
153,995,879436875.0,1,300
76,1176,875308843.0,1,301
31,1100,882076403.0,1,302
36,1177,878963441.0,1,303
42,1178,884140115.0,1,304
59,1179,881515193.0,1,305
119,1180,888732928.0,1,306
77,1021,875270570.0,1,307
154,1058,874786462.0,1,308
42,1181,884114505.0,1,309
155,1182,884197193.0,1,310
56,969,881105817.0,1,311
156,1167,891964230.0,1,312
31,1141,882078830.0,1,313
132,1183,877720297.0,1,314
25,1062,879197562.0,1,315
157,1184,879138713.0,1,316
158,1185,884733766.0,1,317
155,1186,884196584.0,1,318
153,1187,879436785.0,1,319
4,1104,880606667.0,1,320
71,1116,878183616.0,1,321
59,1188,882140588.0,1,322
132,1182,877722736.0,1,323
159,1112,876956264.0,1,324
77,1012,875270655.0,1,325
160,1183,879465631.0,1,326
13,984,876041644.0,1,327
161,1189,887646170.0,1,328
162,1190,877136138.0,1,329
163,1155,889909840.0,1,330
92,1191,879967478.0,1,331
36,1192,878961781.0,1,332
163,1165,889911285.0,1,333
119,1193,878542699.0,1,334
119,1194,875072547.0,1,335
163,1195,889906967.0,1,336
131,1172,880937813.0,1,337
91,1196,891725009.0,1,338
92,1186,879967767.0,1,339
154,1088,874784266.0,1,340
31,1197,882077222.0,1,341
31,1198,882075672.0,1,342
164,1199,892440172.0,1,343
96,1200,878769848.0,1,344
71,1201,878181976.0,1,345
150,1202,877488316.0,1,346
24,1203,887739521.0,1,347
16,1204,879467959.0,1,348
165,1205,890588547.0,1,349
166,1206,891435680.0,1,350
167,1207,882126156.0,1,351
68,1208,887347350.0,1,352
38,1091,874792436.0,1,353
168,1209,888442575.0,1,354
28,1210,875747514.0,1,355
72,1211,878970785.0,1,356
59,1160,881515011.0,1,357
169,1212,885775745.0,1,358
12,1021,875806800.0,1,359
134,1213,889241426.0,1,360
81,1214,891384424.0,1,361
115,1008,880129731.0,1,362
66,1020,875656201.0,1,363
24,1215,887739292.0,1,364
170,1161,888105691.0,1,365
171,945,891560253.0,1,366
53,1216,888206409.0,1,367
13,1046,884129409.0,1,368
132,1217,877726146.0,1,369
172,1218,892302309.0,1,370
84,1219,885848448.0,1,371
84,1220,885849325.0,1,372
173,1221,888640356.0,1,373
148,1222,876197678.0,1,374
71,1047,878182109.0,1,375
55,957,879876917.0,1,376
122,1101,877879172.0,1,377
129,1223,879454663.0,1,378
174,1224,880130397.0,1,379
122,1225,879664906.0,1,380
23,1226,889503806.0,1,381
84,1227,885849447.0,1,382
9,1228,886324486.0,1,383
106,1229,888068912.0,1,384
91,1230,891722802.0,1,385
117,1231,874953895.0,1,386
40,1232,877888677.0,1,387
175,1195,880433418.0,1,388
171,1233,891560842.0,1,389
99,1088,875975110.0,1,390
176,1234,874951695.0,1,391
177,1046,891409839.0,1,392
59,1158,888073635.0,1,393
18,1235,879527264.0,1,394
20,1236,892334543.0,1,395
24,1237,887740700.0,1,396
24,1238,887737036.0,1,397
101,1239,891447773.0,1,398
91,950,891721889.0,1,399
111,1240,875310824.0,1,400
129,1241,879455254.0,1,401
105,1242,891390477.0,1,402
155,1003,884196921.0,1,403
178,1233,891732334.0,1,404
179,1243,877544218.0,1,405
20,1244,892079140.0,1,406
168,1084,888465972.0,1,407
26,1245,892434626.0,1,408
101,1246,891456255.0,1,409
39,1247,891353444.0,1,410
20,1248,892078343.0,1,411
148,1080,876197645.0,1,412
124,1249,882922661.0,1,413
27,1250,888801465.0,1,414
59,1251,890704999.0,1,415
48,1252,882827532.0,1,416
180,1253,890116671.0,1,417
118,1254,882165296.0,1,418
181,1255,891299752.0,1,419
4,1251,880605697.0,1,420
76,1256,875314001.0,1,421
99,1068,883956189.0,1,422
128,1257,880309089.0,1,423
130,1217,879528710.0,1,424
68,1258,886474216.0,1,425
182,1259,880579371.0,1,426
145,1260,875239422.0,1,427
46,1261,879641067.0,1,428
170,1262,888106106.0,1,429
31,1263,882075994.0,1,430
183,964,889737542.0,1,431
66,1176,875653665.0,1,432
71,1264,878181739.0,1,433
111,1258,875310745.0,1,434
69,1062,888905550.0,1,435
104,1265,878955442.0,1,436
29,1266,876861185.0,1,437
59,1035,882139901.0,1,438
53,1267,888205921.0,1,439
112,1268,875636198.0,1,440
127,1247,879454956.0,1,441
98,1269,886432749.0,1,442
184,1270,881260203.0,1,443
104,1002,878870518.0,1,444
154,997,874786926.0,1,445
92,1012,879968827.0,1,446
185,1160,889179478.0,1,447
36,1271,878962955.0,1,448
19,1272,875086354.0,1,449
83,1273,878089963.0,1,450
42,1215,884114275.0,1,451
61,1274,883327734.0,1,452
36,1275,878961814.0,1,453
21,1276,887038665.0,1,454
43,968,875334088.0,1,455
82,1126,880245642.0,1,456
82,1277,880233810.0,1,457
175,1064,880434463.0,1,458
66,1278,875660408.0,1,459
59,1279,882774224.0,1,460
104,1255,878956338.0,1,461
12,1004,875806672.0,1,462
186,1280,881009697.0,1,463
47,1027,885678886.0,1,464
73,1234,891904214.0,1,465
187,1281,879216672.0,1,466
139,978,879517412.0,1,467
101,1282,891451610.0,1,468
103,1283,881705026.0,1,469
83,1284,878089921.0,1,470
188,966,881433689.0,1,471
42,1285,884112077.0,1,472
189,1092,882049932.0,1,473
190,1042,891679939.0,1,474
133,1022,891438875.0,1,475
166,1286,891436202.0,1,476
36,1287,878961586.0,1,477
64,1288,893264301.0,1,478
119,1003,887431883.0,1,479
16,1289,879468375.0,1,480
23,1290,879737314.0,1,481
160,1291,879465242.0,1,482
71,1292,877563913.0,1,483
141,1145,892668197.0,1,484
69,1293,888906655.0,1,485
191,1198,890595859.0,1,486
16,1294,879544791.0,1,487
192,1295,884402860.0,1,488
54,1296,880037334.0,1,489
7,1210,881171009.0,1,490
39,1202,891352178.0,1,491
193,1297,886977926.0,1,492
194,1022,888625753.0,1,493
101,974,891457067.0,1,494
181,1079,891299514.0,1,495
137,1298,884150257.0,1,496
195,1299,875244204.0,1,497
54,1300,880036515.0,1,498
52,1184,885852757.0,1,499
33,1301,880473582.0,1,500
64,1006,893266205.0,1,501
23,1187,877618584.0,1,502
94,1039,886121516.0,1,503
13,1302,884129962.0,1,504
160,1062,879465653.0,1,505
163,1303,889909024.0,1,506
28,1304,875746985.0,1,507
59,1020,882397650.0,1,508
6,965,884183063.0,1,509
196,1305,889655435.0,1,510
11,1306,879376178.0,1,511
44,1307,884923505.0,1,512
131,1308,880934806.0,1,513
28,1309,875747688.0,1,514
73,1310,891904596.0,1,515
66,1311,875653723.0,1,516
74,1312,879362356.0,1,517
144,1045,879283480.0,1,518
16,1057,879468459.0,1,519
118,1313,882164603.0,1,520
54,1023,880036854.0,1,521
197,1314,889402389.0,1,522
186,1315,880125101.0,1,523
15,1116,888103872.0,1,524
146,1316,889127811.0,1,525
91,1317,891720862.0,1,526
198,1029,881200457.0,1,527
117,1142,874953794.0,1,528
92,1318,879966954.0,1,529
91,1319,891723593.0,1,530
199,1246,885613067.0,1,531
200,1320,883245452.0,1,532
68,1020,886474580.0,1,533
183,1321,879365491.0,1,534
130,1255,879524293.0,1,535
201,1030,881014015.0,1,536
146,1212,889123257.0,1,537
38,1322,889174849.0,1,538
38,1323,874787526.0,1,539
20,1303,892079140.0,1,540
36,1324,878962006.0,1,541
176,1325,874951293.0,1,542
69,1326,888905229.0,1,543
94,1327,886123656.0,1,544
40,1328,877886722.0,1,545
177,948,891409070.0,1,546
38,1329,874792945.0,1,547
24,1010,887736584.0,1,548
195,1330,875246759.0,1,549
202,1331,883681514.0,1,550
111,1332,876518557.0,1,551
182,1333,880572642.0,1,552
86,1334,884208173.0,1,553
203,1335,880484286.0,1,554
36,1336,878962918.0,1,555
142,1337,881368891.0,1,556
20,1338,892335501.0,1,557
81,1339,891382309.0,1,558
146,1340,889124890.0,1,559
92,980,879966839.0,1,560
204,1341,887855283.0,1,561
4,950,880606634.0,1,562
81,1304,891382310.0,1,563
35,1030,886890787.0,1,564
9,1253,886323684.0,1,565
21,1036,874781742.0,1,566
176,956,874951382.0,1,567
205,996,888605273.0,1,568
206,1186,891700453.0,1,569
207,1044,886374129.0,1,570
76,1342,890780576.0,1,571
31,1193,882078228.0,1,572
54,1262,880036783.0,1,573
81,1283,891382392.0,1,574
24,1343,887738760.0,1,575
53,1308,888203053.0,1,576
91,1344,891721462.0,1,577
117,1345,875216933.0,1,578
116,1346,891352136.0,1,579
120,1347,892679480.0,1,580
96,1186,884714249.0,1,581
11,1241,879373613.0,1,582
38,957,874791871.0,1,583
36,1346,878963121.0,1,584
208,1348,880147407.0,1,585
48,1246,882824291.0,1,586
209,1222,889070087.0,1,587
210,1187,891271203.0,1,588
60,1185,879024127.0,1,589
24,1349,887737293.0,1,590
211,1350,884050393.0,1,591
101,1179,891447062.0,1,592
144,1307,877122695.0,1,593
71,1254,881059677.0,1,594
105,1351,891390544.0,1,595
101,1352,891448072.0,1,596
59,1353,882141924.0,1,597
203,1308,880485043.0,1,598
101,1169,891448800.0,1,599
185,1354,889179253.0,1,600
212,1140,888513447.0,1,601
120,969,892679460.0,1,602
139,1355,879519556.0,1,603
84,1140,885848102.0,1,604
71,1356,881059117.0,1,605
167,1357,882126156.0,1,606
40,1153,877892210.0,1,607
3,1358,878887112.0,1,608
134,1359,889242857.0,1,609
96,1360,884714492.0,1,610
76,1361,875313859.0,1,611
101,973,891449406.0,1,612
10,975,883600680.0,1,613
65,1362,879988184.0,1,614
6,996,884125629.0,1,615
213,1275,881703044.0,1,616
214,1088,879633567.0,1,617
215,1057,875384647.0,1,618
216,1363,879297545.0,1,619
217,1364,891034835.0,1,620
137,1282,884151119.0,1,621
40,993,877891747.0,1,622
212,996,888513664.0,1,623
218,1224,891264267.0,1,624
44,1365,884923445.0,1,625
59,1366,883670672.0,1,626
38,1367,874790826.0,1,627
4,1268,880607205.0,1,628
64,1160,893265263.0,1,629
219,944,883888671.0,1,630
11,1031,879373008.0,1,631
38,1368,874792907.0,1,632
141,1130,891544052.0,1,633
220,1125,876504354.0,1,634
71,1008,878183043.0,1,635
206,1259,891700751.0,1,636
61,1202,883326122.0,1,637
120,1253,892683275.0,1,638
56,961,881105817.0,1,639
119,1123,875072442.0,1,640
59,1369,882397582.0,1,641
221,1304,877556988.0,1,642
121,1189,879455311.0,1,643
222,1038,883524249.0,1,644
206,1370,891702304.0,1,645
4,1321,880604077.0,1,646
223,1371,878746946.0,1,647
39,1372,891352134.0,1,648
48,1055,882826915.0,1,649
48,1308,882823833.0,1,650
25,1106,880572658.0,1,651
20,1373,892333865.0,1,652
34,956,884238887.0,1,653
182,1133,880563471.0,1,654
186,1083,880124306.0,1,655
101,1182,891448850.0,1,656
117,1374,876252497.0,1,657
94,1375,886123530.0,1,658
122,1376,875506839.0,1,659
56,1377,881108147.0,1,660
44,1378,884923372.0,1,661
55,1170,879876702.0,1,662
162,984,877135677.0,1,663
118,1133,882164406.0,1,664
66,1087,875654798.0,1,665
36,1309,878963418.0,1,666
104,1125,878955115.0,1,667
66,1379,876175582.0,1,668
57,1380,881105561.0,1,669
44,1381,884922831.0,1,670
224,1246,878945579.0,1,671
225,1382,875072583.0,1,672
115,953,880129731.0,1,673
112,1383,878844423.0,1,674
180,1384,890116254.0,1,675
146,1276,889127921.0,1,676
170,1220,888105940.0,1,677
81,1385,891383866.0,1,678
226,1386,879434819.0,1,679
112,1387,875635723.0,1,680
3,1388,878887983.0,1,681
227,994,884365485.0,1,682
74,1352,879362183.0,1,683
38,1261,874792547.0,1,684
71,1265,878183043.0,1,685
54,1389,880035887.0,1,686
23,1204,878192311.0,1,687
119,1143,889751711.0,1,688
24,1390,887741461.0,1,689
228,1110,879525778.0,1,690
71,1391,878183512.0,1,691
36,1347,878962623.0,1,692
13,1173,884129542.0,1,693
20,1392,892336358.0,1,694
4,1393,880606243.0,1,695
81,1030,891384789.0,1,696
229,1110,883108324.0,1,697
181,1046,891298336.0,1,698
178,1088,891732335.0,1,699
76,1394,892864663.0,1,700
230,1364,888550774.0,1,701
207,1395,886892127.0,1,702
106,945,888065432.0,1,703
12,1165,877531406.0,1,704
231,984,888284313.0,1,705
3,1272,878887227.0,1,706
20,1144,892078890.0,1,707
63,1042,891548959.0,1,708
121,1030,879456204.0,1,709
111,1396,876514002.0,1,710
91,1397,891722678.0,1,711
224,1080,878945840.0,1,712
39,1398,891352010.0,1,713
111,1282,875744501.0,1,714
132,1343,877717956.0,1,715
197,1399,889402298.0,1,716
33,1400,880474293.0,1,717
66,1002,875640800.0,1,718
185,1401,889179032.0,1,719
120,1402,892679308.0,1,720
232,973,884534968.0,1,721
20,1132,891227851.0,1,722
206,1013,891702486.0,1,723
24,1303,887738760.0,1,724
38,1183,874787441.0,1,725
142,1403,881368302.0,1,726
17,1404,879270511.0,1,727
103,1377,880838306.0,1,728
97,1359,879790874.0,1,729
42,1074,886013700.0,1,730
36,1405,878962623.0,1,731
139,1379,879518319.0,1,732
181,1145,891299387.0,1,733
139,1406,879518279.0,1,734
42,1407,884112800.0,1,735
233,1408,888705966.0,1,736
234,1140,880557539.0,1,737
152,1381,880134532.0,1,738
69,1001,888906070.0,1,739
96,1222,878768882.0,1,740
38,996,874786488.0,1,741
59,1250,882397833.0,1,742
209,1091,889069782.0,1,743
128,1409,880308256.0,1,744
64,1003,893264466.0,1,745
71,981,878183684.0,1,746
235,1410,891458193.0,1,747
72,1347,878970681.0,1,748
204,1039,887855087.0,1,749
36,1288,878962675.0,1,750
127,1272,892838865.0,1,751
99,1411,884029430.0,1,752
59,1412,882142057.0,1,753
8,1283,891628883.0,1,754
56,1413,881108548.0,1,755
158,1025,884753202.0,1,756
19,1414,874835165.0,1,757
111,1050,875742822.0,1,758
97,1415,879792220.0,1,759
20,1349,892334680.0,1,760
236,1061,882820803.0,1,761
180,1323,890116575.0,1,762
152,1416,880133116.0,1,763
237,1380,888185947.0,1,764
123,1417,888550130.0,1,765
87,1389,884287927.0,1,766
238,1004,880915258.0,1,767
239,1061,884584426.0,1,768
196,1418,889655162.0,1,769
27,1367,888803537.0,1,770
158,1105,884752562.0,1,771
81,1419,891383319.0,1,772
2,1420,879023663.0,1,773
93,1409,878347915.0,1,774
215,1421,875385198.0,1,775
39,1380,891351624.0,1,776
106,1422,888068651.0,1,777
11,1152,879374969.0,1,778
56,1140,881106072.0,1,779
48,1423,882827834.0,1,780
103,947,879454782.0,1,781
158,949,884732407.0,1,782
89,1354,892243079.0,1,783
120,1280,892911290.0,1,784
177,1131,891409564.0,1,785
12,1424,878141681.0,1,786
81,1101,891382121.0,1,787
36,1425,878962349.0,1,788
139,1426,879517062.0,1,789
15,1135,888082495.0,1,790
129,1055,879454977.0,1,791
195,1427,875246662.0,1,792
114,1428,883601089.0,1,793
122,1144,877124871.0,1,794
20,1429,892079237.0,1,795
39,1049,891351653.0,1,796
55,1175,879875774.0,1,797
240,1430,877835102.0,1,798
93,1402,883613334.0,1,799
220,1431,876504442.0,1,800
18,1105,879521474.0,1,801
91,1240,891722933.0,1,802
22,1432,892738277.0,1,803
241,993,879879720.0,1,804
203,984,880484286.0,1,805
36,1433,878962675.0,1,806
131,945,880928519.0,1,807
81,1352,891384357.0,1,808
36,1434,878962997.0,1,809
12,1184,877531537.0,1,810
138,1435,892242403.0,1,811
227,1436,884365357.0,1,812
66,1347,875640679.0,1,813
176,1437,874951798.0,1,814
4,1312,880602264.0,1,815
36,1080,878962919.0,1,816
187,1438,879216529.0,1,817
238,1370,880916070.0,1,818
93,1098,878348289.0,1,819
4,1200,880606043.0,1,820
119,950,878542441.0,1,821
159,1030,876954456.0,1,822
23,960,889502756.0,1,823
91,1439,891723883.0,1,824
12,1151,877533058.0,1,825
185,1074,889181247.0,1,826
82,1343,880245145.0,1,827
68,1347,886472369.0,1,828
11,1381,879376483.0,1,829
48,1058,882826982.0,1,830
18,1038,879522819.0,1,831
111,1078,875745160.0,1,832
225,1000,875072674.0,1,833
38,1039,874786366.0,1,834
152,1127,880135069.0,1,835
122,1246,881681663.0,1,836
125,1114,891170745.0,1,837
9,1440,886323937.0,1,838
242,1441,879439078.0,1,839
183,1442,889739212.0,1,840
171,1205,891560753.0,1,841
39,1227,891353011.0,1,842
53,1443,888204997.0,1,843
167,1083,882027109.0,1,844
40,1444,877888944.0,1,845
176,1445,874951382.0,1,846
89,1446,884304328.0,1,847
18,1447,879549996.0,1,848
39,1057,891353543.0,1,849
147,1331,875076827.0,1,850
221,1042,877557028.0,1,851
25,1448,879196354.0,1,852
132,978,877720733.0,1,853
53,1088,888206809.0,1,854
227,1440,884365075.0,1,855
57,1449,881105516.0,1,856
99,1450,883955224.0,1,857
210,1301,891271545.0,1,858
196,1367,889655619.0,1,859
127,1426,892836309.0,1,860
41,995,885329671.0,1,861
16,1400,879468547.0,1,862
68,1227,886474396.0,1,863
243,1451,883217030.0,1,864
168,1348,888442275.0,1,865
81,1452,891383912.0,1,866
10,1453,883601713.0,1,867
76,1454,875297433.0,1,868
12,1097,875807004.0,1,869
71,1338,878183565.0,1,870
145,1323,875239383.0,1,871
56,1028,881108873.0,1,872
117,1106,875801778.0,1,873
68,1184,886472466.0,1,874
182,1299,880563641.0,1,875
203,1018,880485726.0,1,876
4,1455,880601905.0,1,877
10,1348,883600406.0,1,878
136,1119,882157285.0,1,879
118,1098,882164727.0,1,880
27,1002,888801316.0,1,881
168,1456,888465201.0,1,882
176,1457,874951695.0,1,883
190,1348,891680028.0,1,884
115,1124,880129628.0,1,885
52,956,885852817.0,1,886
88,1136,886989501.0,1,887
159,975,876955868.0,1,888
108,1021,876974133.0,1,889
128,1188,880307940.0,1,890
10,1101,883268278.0,1,891
244,1110,879459859.0,1,892
92,1055,879968029.0,1,893
9,1011,886323525.0,1,894
163,1458,889912691.0,1,895
12,1232,877532470.0,1,896
76,1459,888465209.0,1,897
118,953,882165103.0,1,898
195,1114,875245462.0,1,899
245,992,879013617.0,1,900
246,1460,891042938.0,1,901
73,1197,891905896.0,1,902
42,1450,884114471.0,1,903
223,996,878746685.0,1,904
204,1061,887854726.0,1,905
58,1040,879669401.0,1,906
170,1308,888104122.0,1,907
36,1109,878963275.0,1,908
182,1420,880578814.0,1,909
103,1461,879455021.0,1,910
104,1164,878955973.0,1,911
71,1067,878184290.0,1,912
63,1173,891550649.0,1,913
166,1462,891435704.0,1,914
150,1040,877488366.0,1,915
98,1463,886432989.0,1,916
148,1251,880314383.0,1,917
108,1308,876974198.0,1,918
111,1464,876513830.0,1,919
29,1243,876858346.0,1,920
240,1085,878019342.0,1,921
15,1129,888082468.0,1,922
112,1465,875636493.0,1,923
47,1031,885678724.0,1,924
230,1466,888552084.0,1,925
57,1446,881104148.0,1,926
54,1145,880037203.0,1,927
103,1126,882813248.0,1,928
128,1095,880307072.0,1,929
66,1467,886443708.0,1,930
39,1468,891351772.0,1,931
55,1149,879876813.0,1,932
43,1469,875334340.0,1,933
119,1470,878542201.0,1,934
20,1384,892079538.0,1,935
71,1471,878184113.0,1,936
247,1183,875322758.0,1,937
39,1141,891354639.0,1,938
96,1160,878769410.0,1,939
125,1144,891170824.0,1,940
